_id,conversation_number,source_object_id,classification.categorization,classification.intent,classification.topic,classification.sentiment,messages,tweets[0].tweet_id,tweets[1].tweet_id,tweets[2].tweet_id,tweets[3].tweet_id,tweets[4].tweet_id,tweets[5].tweet_id,tweets[6].tweet_id,tweets[7].tweet_id,tweets[8].tweet_id,tweets[9].tweet_id,tweets[10].tweet_id,tweets[11].tweet_id,tweets[12].tweet_id,tweets[13].tweet_id,tweets[14].tweet_id,tweets[15].tweet_id,tweets[16].tweet_id,tweets[17].tweet_id,tweets[18].tweet_id,tweets[19].tweet_id,tweets[0].author_id,tweets[1].author_id,tweets[2].author_id,tweets[3].author_id,tweets[4].author_id,tweets[5].author_id,tweets[6].author_id,tweets[7].author_id,tweets[8].author_id,tweets[9].author_id,tweets[10].author_id,tweets[11].author_id,tweets[12].author_id,tweets[13].author_id,tweets[14].author_id,tweets[15].author_id,tweets[16].author_id,tweets[17].author_id,tweets[18].author_id,tweets[19].author_id,tweets[0].role,tweets[1].role,tweets[2].role,tweets[3].role,tweets[4].role,tweets[5].role,tweets[6].role,tweets[7].role,tweets[8].role,tweets[9].role,tweets[10].role,tweets[11].role,tweets[12].role,tweets[13].role,tweets[14].role,tweets[15].role,tweets[16].role,tweets[17].role,tweets[18].role,tweets[19].role,tweets[0].inbound,tweets[1].inbound,tweets[2].inbound,tweets[3].inbound,tweets[4].inbound,tweets[5].inbound,tweets[6].inbound,tweets[7].inbound,tweets[8].inbound,tweets[9].inbound,tweets[10].inbound,tweets[11].inbound,tweets[12].inbound,tweets[13].inbound,tweets[14].inbound,tweets[15].inbound,tweets[16].inbound,tweets[17].inbound,tweets[18].inbound,tweets[19].inbound,tweets[0].created_at,tweets[1].created_at,tweets[2].created_at,tweets[3].created_at,tweets[4].created_at,tweets[5].created_at,tweets[6].created_at,tweets[7].created_at,tweets[8].created_at,tweets[9].created_at,tweets[10].created_at,tweets[11].created_at,tweets[12].created_at,tweets[13].created_at,tweets[14].created_at,tweets[15].created_at,tweets[16].created_at,tweets[17].created_at,tweets[18].created_at,tweets[19].created_at,tweets[0].text,tweets[1].text,tweets[2].text,tweets[3].text,tweets[4].text,tweets[5].text,tweets[6].text,tweets[7].text,tweets[8].text,tweets[9].text,tweets[10].text,tweets[11].text,tweets[12].text,tweets[13].text,tweets[14].text,tweets[15].text,tweets[16].text,tweets[17].text,tweets[18].text,tweets[19].text,processed_at,processing_metadata.batch_job_id,processing_metadata.processing_attempts
68d6e79b9223eaadb047c5f4,130,68ce563252b33355379dfac6,Feedback regarding General,Feedback,General,Positive,,29605,29604,,,,,,,,,,,,,,,,,,,122504,Delta,,,,,,,,,,,,,,,,,,,Customer,Service Provider,,,,,,,,,,,,,,,,,,,true,false,,,,,,,,,,,,,,,,,,,Wed Nov 01 11:13:09 +0000 2017,Wed Nov 01 11:14:52 +0000 2017,,,,,,,,,,,,,,,,,,,"I forgot to give big credit to @Delta yesterday for not one, but TWO early arrivals! Put that in your @1821 sentiment tracker. 👍",@122504 Thanks for the shout out and thanks for flying Delta. 😊 *TDH,,,,,,,,,,,,,,,,,,,2025-09-26T19:20:59.025Z,job_20250926_192002,2
68d6e7af9223eaadb047c5f5,142,68ce563252b33355379dfad2,Feedback regarding Travel Experience,Feedback,Travel Experience,Positive,,32075,32074,32073,32072,,,,,,,,,,,,,,,,,123094,Delta,123094,Delta,,,,,,,,,,,,,,,,,Customer,Service Provider,Customer,Service Provider,,,,,,,,,,,,,,,,,true,false,true,false,,,,,,,,,,,,,,,,,Wed Nov 01 12:39:08 +0000 2017,Wed Nov 01 12:40:08 +0000 2017,Wed Nov 01 12:41:49 +0000 2017,Wed Nov 01 12:42:37 +0000 2017,,,,,,,,,,,,,,,,,Good Morning @Delta lovely view here at Atlanta Airport waiting for my final flight to Guatemala Airport can’t wait for family time x https://t.co/7kcfZBipWj,@123094 Rachel. Thanks for sharing the pic. Enjoy you travels and your family! *ALY,@Delta It’s me that needs to Thank Team Heathrow Delta without there support I would not be here massive thanks to all,@123094 You are welcome and thank you for flying Delta.  *TDH,,,,,,,,,,,,,,,,,2025-09-26T19:21:19.486Z,job_20250926_192002,2
68d6e7c09223eaadb047c5f6,144,68ce563252b33355379dfad4,Complaint regarding Technical Support,Complaint,Technical Support,Negative,,32081,32080,,,,,,,,,,,,,,,,,,,123096,Delta,,,,,,,,,,,,,,,,,,,Customer,Service Provider,,,,,,,,,,,,,,,,,,,true,false,,,,,,,,,,,,,,,,,,,Wed Nov 01 12:32:16 +0000 2017,Wed Nov 01 12:33:29 +0000 2017,,,,,,,,,,,,,,,,,,,@DELTA you are THE WORST at checking in people at Portland airport!  You need to look at Alaska for bag check. Seriously. Get it together!!!,"@123096 Hi, Dena. I apologize for your experience this morning. We appreciate the feedback. *TJF",,,,,,,,,,,,,,,,,,,2025-09-26T19:21:36.310Z,job_20250926_192002,2
68d6e7cd9223eaadb047c5f7,150,68ce563252b33355379dfada,Order Status regarding Travel,Order Status,Travel,Neutral,,33442,33441,,,,,,,,,,,,,,,,,,,123399,Delta,,,,,,,,,,,,,,,,,,,Customer,Service Provider,,,,,,,,,,,,,,,,,,,true,false,,,,,,,,,,,,,,,,,,,Wed Nov 01 13:07:58 +0000 2017,Wed Nov 01 13:09:52 +0000 2017,,,,,,,,,,,,,,,,,,,"Waiting to board @delta 2072, Minneapolis here I come.","@123399 Hi Dan, have a wonderful time in Minneapolis. Thank you for flying with Delta today! *TJW",,,,,,,,,,,,,,,,,,,2025-09-26T19:21:49.407Z,job_20250926_192002,2
68d6e7e09223eaadb047c5f8,156,68ce563252b33355379dfae0,Complaint regarding Travel/Transportation,Complaint,Travel/Transportation,Negative,,35393,35391,35392,,,,,,,,,,,,,,,,,,123721,Delta,123721,,,,,,,,,,,,,,,,,,Customer,Service Provider,Customer,,,,,,,,,,,,,,,,,,true,false,true,,,,,,,,,,,,,,,,,,Wed Nov 01 13:16:38 +0000 2017,Wed Nov 01 13:38:35 +0000 2017,Wed Nov 01 13:42:44 +0000 2017,,,,,,,,,,,,,,,,,,So @Delta remind me why I should make you my primary airline when once again I’m turned away from the lounge at @116147 as platinum?,@123721 Hi Lauren. SkyClub access requires a membership.  *AMR,"@Delta *AMR I am a platinum medallion member, with any other airline I would be granted access to the lounge",,,,,,,,,,,,,,,,,,2025-09-26T19:22:08.424Z,job_20250926_192002,2
68d6e7f09223eaadb047c5f9,158,68ce563252b33355379dfae2,Order Status regarding Shipping/Delivery,Order Status,Shipping/Delivery,Neutral,,36753,36752,,,,,,,,,,,,,,,,,,,124018,Delta,,,,,,,,,,,,,,,,,,,Customer,Service Provider,,,,,,,,,,,,,,,,,,,true,false,,,,,,,,,,,,,,,,,,,Wed Nov 01 13:56:08 +0000 2017,Wed Nov 01 14:00:28 +0000 2017,,,,,,,,,,,,,,,,,,,Hey @Delta when is DL9933 actually leaving TLS?,@124018 I wish to express my sincere apology for the delay Jeffrey. The flight will be departing at 3:15pm. *ALS,,,,,,,,,,,,,,,,,,,2025-09-26T19:22:24.451Z,job_20250926_192002,2
68d6e8029223eaadb047c5fa,171,68ce563252b33355379dfaef,Technical Support regarding Travel,Technical Support,Travel,Negative,,40944,40945,,,,,,,,,,,,,,,,,,,124972,Delta,,,,,,,,,,,,,,,,,,,Customer,Service Provider,,,,,,,,,,,,,,,,,,,true,false,,,,,,,,,,,,,,,,,,,Wed Nov 01 15:15:33 +0000 2017,Wed Nov 01 16:49:48 +0000 2017,,,,,,,,,,,,,,,,,,,@SouthwestAir 3 1/2 flight and no WiFi? BHam to Vegas. Next time tell the passengers while in the terminal. Glad I picked you guys over @Delta NOT https://t.co/iyKnG9ulzj,@124972 We're always glad to be your ride! ✈ *TJP,,,,,,,,,,,,,,,,,,,2025-09-26T19:22:42.293Z,job_20250926_192002,2
68d6e8149223eaadb047c5fb,179,68ce563252b33355379dfaf7,Technical Support regarding Travel,Technical Support,Travel,Negative,,44480,44479,,,,,,,,,,,,,,,,,,,125867,Delta,,,,,,,,,,,,,,,,,,,Customer,Service Provider,,,,,,,,,,,,,,,,,,,true,false,,,,,,,,,,,,,,,,,,,Sun Nov 26 00:45:30 +0000 2017,Sun Nov 26 00:56:30 +0000 2017,,,,,,,,,,,,,,,,,,,Another epic fail by @Delta - no one working special services definitely gonna miss meeting my daughters flight....#hiresomepeople,"@125867 Hi, Lisa. We definitely don't want you to miss your flight. Please share your confirmation number via the link below for review. *AFN https://t.co/6iDGBJAc2m",,,,,,,,,,,,,,,,,,,2025-09-26T19:23:00.746Z,job_20250926_192002,2
68d6e8239223eaadb047c5fc,185,68ce563252b33355379dfafd,Complaint regarding Product Info,Complaint,Product Info,Negative,,44700,44699,,,,,,,,,,,,,,,,,,,125924,Delta,,,,,,,,,,,,,,,,,,,Customer,Service Provider,,,,,,,,,,,,,,,,,,,true,false,,,,,,,,,,,,,,,,,,,Wed Nov 01 14:26:59 +0000 2017,Wed Nov 01 16:23:18 +0000 2017,,,,,,,,,,,,,,,,,,,Hope the real pretzels on @delta are back for good. The gluten free ones tasted like saw dust!,@125924 ...you.  *HAN 2/2,,,,,,,,,,,,,,,,,,,2025-09-26T19:23:15.190Z,job_20250926_192002,2
68d6e8469223eaadb047c5fd,187,68ce563252b33355379dfaff,Product Inquiry regarding Account/Billing,Product Inquiry,Account/Billing,Neutral,,45759,45757,45758,45760,45761,,,,,,,,,,,,,,,,126144,Delta,126144,Delta,126144,,,,,,,,,,,,,,,,Customer,Service Provider,Customer,Service Provider,Customer,,,,,,,,,,,,,,,,true,false,true,false,true,,,,,,,,,,,,,,,,Wed Nov 01 14:56:39 +0000 2017,Wed Nov 01 16:43:01 +0000 2017,Wed Nov 01 16:44:10 +0000 2017,Wed Nov 01 17:08:53 +0000 2017,Wed Nov 01 17:31:41 +0000 2017,,,,,,,,,,,,,,,,Where did all my #HOOU vouchers on my @Delta @824 app go? Haven't used any... but have all vanished,"@126144 Hi, Alex, I do not see any outstanding vouchers on your SkyMiles account. I only show an upcoming trip in December. *TRR",@Delta As I said before they were there before but have now vanished. I had four in total and haven't used any,"@126144 If you have the voucher numbers, I'll be happy to check them for you. There are none showing attached to your SkyMiles account. *TMS",@Delta Do people actually write down their voucher numbers when it's supposed to be safe in the app? Thank you anyway,,,,,,,,,,,,,,,,2025-09-26T19:23:50.767Z,job_20250926_192002,2
