_id,conversation_number,source_object_id,classification.categorization,classification.intent,classification.topic,classification.sentiment,messages,tweets[0].tweet_id,tweets[1].tweet_id,tweets[2].tweet_id,tweets[3].tweet_id,tweets[4].tweet_id,tweets[5].tweet_id,tweets[6].tweet_id,tweets[7].tweet_id,tweets[0].author_id,tweets[1].author_id,tweets[2].author_id,tweets[3].author_id,tweets[4].author_id,tweets[5].author_id,tweets[6].author_id,tweets[7].author_id,tweets[0].role,tweets[1].role,tweets[2].role,tweets[3].role,tweets[4].role,tweets[5].role,tweets[6].role,tweets[7].role,tweets[0].inbound,tweets[1].inbound,tweets[2].inbound,tweets[3].inbound,tweets[4].inbound,tweets[5].inbound,tweets[6].inbound,tweets[7].inbound,tweets[0].created_at,tweets[1].created_at,tweets[2].created_at,tweets[3].created_at,tweets[4].created_at,tweets[5].created_at,tweets[6].created_at,tweets[7].created_at,tweets[0].created_time,tweets[1].created_time,tweets[2].created_time,tweets[3].created_time,tweets[4].created_time,tweets[5].created_time,tweets[6].created_time,tweets[7].created_time,tweets[0].text,tweets[1].text,tweets[2].text,tweets[3].text,tweets[4].text,tweets[5].text,tweets[6].text,tweets[7].text,processed_at,processing_metadata.batch_job_id,processing_metadata.processing_attempts,customer
68d834a53bb6086e8c48926c,4017,68d7e235c8d40404f35387ef,Complaint regarding Travel/Transportation,Complaint,Travel/Transportation,Negative,,507510,507509,,,,,,,236500,Delta,,,,,,,Customer,Service Provider,,,,,,,true,false,,,,,,,2024-12-01,2024-12-01,,,,,,,21:25:36,21:45:15,,,,,,,"So frustrating...30 hours later, and I still don’t have my luggage. #fail Super disappointed with @Delta and partner @23083. No Change of clothes. Sigh","@236500 @23083 Nadia, if you haven't please complete the delayed baggage form on https://t.co/yQj0bzerMw. *ACJ",,,,,,,2025-09-27T19:01:57.756Z,job_20250927_190137,2,Delta
68d834cc3bb6086e8c48926d,4551,68d7e235c8d40404f35387f0,Complaint regarding Technical Support,Complaint,Technical Support,Negative,,582319,582317,582318,582320,582321,,,,257270,Delta,257270,257270,Delta,,,,Customer,Service Provider,Customer,Customer,Service Provider,,,,true,false,true,true,false,,,,2024-12-03,2024-12-03,2024-12-03,2024-12-03,2024-12-03,,,,13:12:00,13:13:50,13:16:05,13:25:33,13:34:42,,,,"@Delta Hope that you will talk to supervisors about passenger service during boarding on fl 3385 this morning. Two minutes before boarding, agents refused to tell passengers their seats. Caused a woman with kids huge stress. It was just #lazy #NoGoodExcuse","@257270 Hey there Brian, I am sorry that this has happened on your flight this morning. I will forward this on to our leadership so that this can be addressed. *TBW","@Delta Thanks. For the agents, this may seem routine. For a mother with kids.. standing around without knowing when to board is stressful and scary. Very easily avoidable. I was also unassigned.. and the agent insisted that my seat was displaying in the screen (it wasn’t).",@Delta Btw: I love @Delta Thanks for serving Pittsburgh!,@257270 Our pleasure. #UchooseUs ✈ 💕 ✈ #WeChooseU *TMA,,,,2025-09-27T19:02:36.064Z,job_20250927_190137,2,Delta
68d834e53bb6086e8c48926e,3942,68d7e235c8d40404f35387f1,Technical Support regarding Travel/Flights,Technical Support,Travel/Flights,Negative,,497814,497813,497810,497809,,,,,30473,Delta,30473,Delta,,,,,Customer,Service Provider,Customer,Service Provider,,,,,true,false,true,false,,,,,2024-12-01,2024-12-01,2024-12-01,2024-12-01,,,,,18:35:17,18:44:25,18:47:35,18:56:56,,,,,Hey @delta! Any chance you’re going to hold connecting flights to make up for the super delay of flight DAL2628?!?,"@30473 I'm sorry for the delay. Unfortunately, we are unable to hold flights. Please let me know if I can assist you with a connection. *ALS",@Delta We need to connect to DL1277 which boards at 350 for MSY. We are still on the runway at LGA.,@30473 You're welcome. *ALS,,,,,2025-09-27T19:03:01.402Z,job_20250927_190137,2,Delta
68d835163bb6086e8c48926f,4623,68d7e235c8d40404f35387f2,Product Inquiry regarding Travel,Product Inquiry,Travel,Neutral,,592857,592856,592855,592854,592853,592852,,,260330,Delta,260330,Delta,260330,Delta,,,Customer,Service Provider,Customer,Service Provider,Customer,Service Provider,,,true,false,true,false,true,false,,,2024-11-25,2024-11-25,2024-11-26,2024-11-26,2024-12-03,2024-12-03,,,16:30:37,17:28:52,15:53:14,16:24:24,17:33:49,17:35:22,,,@Delta qué pasó con mi vuelo? Reservé desde Agosto mis asientos y ahora resulta que me los cambiaron. Pésima atención! 😡 en sus líneas telefónicas no contestan.,@260330 Hi. We don't have a Spanish speaker available at this time. May I converse in English? *AMR,@Delta Don’t worry. My wife already fix the problem with somebody from your team yesterday. I thought that maybe you had someone who could converse in spanish. That why I started in spanish,@260330 Great! I'm glad you were assisted accordingly. *AJY,"@Delta Hello! I need again some help. I will be traveling again to NYC but my flight was bought with Aeroméxico and is operated by Delta. I have my Aeroméxico confirmation code, but I don’t know the delta code. What can I do? Delta site doesn’t recognize Aeroméxico code.","@260330 Hello. Do you have the ticket number? It may be 15 digits long, and I'll try to look from there. Please DM that. Thanks.  *TMS https://t.co/6iDGBJAc2m",,,2025-09-27T19:03:50.151Z,job_20250927_190137,2,Delta
68d8352d3bb6086e8c489270,4126,68d7e235c8d40404f35387f3,Complaint regarding Technical Support,Complaint,Technical Support,Negative,,516821,516820,,,,,,,239135,Delta,,,,,,,Customer,Service Provider,,,,,,,true,false,,,,,,,2024-12-02,2024-12-02,,,,,,,01:04:16,01:06:32,,,,,,,@AmericanAir you must not want me as a member of your sky miles.  I had a death in the family and you ppl cancelled the only flight to ct!!  I swear to god you better make this right or i am switching to @Delta,"@239135 We're here and ready for you, Josh. You have our deepest condolences for the loss of your family member.  *ABN",,,,,,,2025-09-27T19:04:13.234Z,job_20250927_190137,2,Delta
68d8353f3bb6086e8c489271,3650,68d7e235c8d40404f35387f4,Technical Support regarding Product Info,Technical Support,Product Info,Neutral,,458096,458095,,,,,,,223760,Delta,,,,,,,Customer,Service Provider,,,,,,,true,false,,,,,,,2024-12-01,2024-12-01,,,,,,,00:55:29,00:57:26,,,,,,,Is @Delta no longer running non-stop flights from ATL to SXM?,@223760 Thank you for asking. Let me check on that for you. Please follow via DM for assistance. *TDL https://t.co/6iDGBJAc2m,,,,,,,2025-09-27T19:04:31.751Z,job_20250927_190137,2,Delta
68d835573bb6086e8c489272,4196,68d7e235c8d40404f35387f5,Technical Support regarding Travel,Technical Support,Travel,Negative,,526288,526287,,,,,,,241776,Delta,,,,,,,Customer,Service Provider,,,,,,,true,false,,,,,,,2024-12-02,2024-12-02,,,,,,,06:29:56,06:33:43,,,,,,,When you’ve got status with @delta and book with your KTN then you go to check in and somehow it disappears. 😡 and the desk agents don’t know how to add it on. 😡 this needs to be fixed for the return. Ugh. \n\n#HellNo,"@241776 We're sorry for the inconvenience, Julienne. Please provide your confirmation # and KTN via the link. *ABN https://t.co/6iDGBJRMTU",,,,,,,2025-09-27T19:04:55.699Z,job_20250927_190137,2,Delta
68d8356f3bb6086e8c489273,4377,68d7e235c8d40404f35387f6,Technical Support regarding Travel/Flight,Technical Support,Travel/Flight,Neutral,,557284,557282,557283,,,,,,250131,Delta,250131,,,,,,Customer,Service Provider,Customer,,,,,,true,false,true,,,,,,2024-12-02,2024-12-02,2024-12-02,,,,,,21:02:54,21:26:46,21:27:10,,,,,,@Delta my good friend @220734 left his laptop on a flight can you assist him,"@250131 I am sorry to hear that. To process his claim for delayed, damaged or lost baggage or missing items, complete this form. Here is the link:  https://t.co/XwO5qwnsan *AFM",@Delta Can you tell him that @220734 it’s not me,,,,,,2025-09-27T19:05:19.370Z,job_20250927_190137,2,Delta
68d835803bb6086e8c489274,4495,68d7e235c8d40404f35387f7,Technical Support regarding Technical,Technical Support,Technical,Neutral,,570556,570555,,,,,,,253963,Delta,,,,,,,Customer,Service Provider,,,,,,,true,false,,,,,,,2024-12-03,2024-12-03,,,,,,,03:31:42,03:32:19,,,,,,,@Delta I keep trying to change a flight on your website and getting error message. Than there is an hour long wait time to speak to someone on the phone!,@253963 I’d be delighted to assist. Please follow and DM your confirmation number.  *AFC https://t.co/6iDGBJAc2m,,,,,,,2025-09-27T19:05:36.557Z,job_20250927_190137,2,Delta
68d8358f3bb6086e8c489275,3762,68d7e235c8d40404f35387f8,Feedback regarding General,Feedback,General,Positive,,471672,471671,,,,,,,227319,Delta,,,,,,,Customer,Service Provider,,,,,,,true,false,,,,,,,2024-12-01,2024-12-01,,,,,,,08:42:05,08:49:45,,,,,,,@Delta check in @21706 was amazingly smooth this morning. Hope the flight goes the same way 👍🏽,"@227319 Thank you for traveling with us, Kev. Enjoy your trip! *ABN",,,,,,,2025-09-27T19:05:51.954Z,job_20250927_190137,2,Delta
